(.venv) marquiswong@whale mod4-marquisywong % python project/run_mnist_multiclass.py
Epoch 2 loss 2.1726808301367457 valid acc 15/16
Epoch 2 loss 1.5655026554247171 valid acc 15/16
Epoch 2 loss 2.2471056987229723 valid acc 14/16
Epoch 2 loss 1.581566974576899 valid acc 15/16
Epoch 2 loss 1.489542746005063 valid acc 15/16
Epoch 2 loss 2.342536543261638 valid acc 14/16
Epoch 2 loss 2.4718991868670193 valid acc 13/16
Epoch 2 loss 1.8581694602921852 valid acc 15/16
Epoch 2 loss 1.5073531303088745 valid acc 13/16
Epoch 2 loss 1.7058677891106888 valid acc 14/16
Epoch 2 loss 2.0518806647590706 valid acc 14/16
Epoch 3 loss 0.11356397752492478 valid acc 15/16
Epoch 3 loss 2.0657711124783704 valid acc 15/16
Epoch 3 loss 2.952470862815632 valid acc 15/16
Epoch 3 loss 2.7514175155026708 valid acc 13/16
Epoch 3 loss 1.8157226860623472 valid acc 14/16
Epoch 3 loss 1.5961884537287825 valid acc 14/16
Epoch 3 loss 1.796337601757573 valid acc 15/16
Epoch 3 loss 2.0987025798854386 valid acc 14/16
Epoch 3 loss 2.438640472633761 valid acc 15/16
Epoch 3 loss 1.6131822354530776 valid acc 14/16
Epoch 3 loss 1.9566186857373393 valid acc 14/16
Epoch 3 loss 3.2127526800906603 valid acc 15/16
Epoch 3 loss 2.374055765778965 valid acc 15/16
Epoch 3 loss 2.7806305622515812 valid acc 14/16
Epoch 3 loss 2.2303795138795586 valid acc 14/16
Epoch 3 loss 2.8639005780376205 valid acc 15/16
Epoch 3 loss 3.6225229132843166 valid acc 14/16
Epoch 3 loss 2.566827096851082 valid acc 15/16
Epoch 3 loss 2.057734761162403 valid acc 14/16
Epoch 3 loss 1.3827404838573842 valid acc 15/16
Epoch 3 loss 1.8791541666085365 valid acc 14/16
Epoch 3 loss 2.077693369253807 valid acc 15/16
Epoch 3 loss 0.6688599256447016 valid acc 15/16
Epoch 3 loss 1.4147123764248692 valid acc 15/16
Epoch 3 loss 1.5038501405420517 valid acc 14/16
Epoch 3 loss 1.8119836459508878 valid acc 14/16
Epoch 3 loss 1.56424671873365 valid acc 14/16
Epoch 3 loss 1.7332262046873093 valid acc 15/16
Epoch 3 loss 2.0688949775342413 valid acc 15/16
Epoch 3 loss 1.1871313885748664 valid acc 14/16
Epoch 3 loss 1.5608721415017386 valid acc 15/16
Epoch 3 loss 1.5585873524785083 valid acc 13/16
Epoch 3 loss 1.3458471828095226 valid acc 13/16
Epoch 3 loss 1.4559082223221713 valid acc 14/16
Epoch 3 loss 3.4520568361061503 valid acc 15/16
Epoch 3 loss 2.0124934643001646 valid acc 14/16
Epoch 3 loss 1.9473393573199558 valid acc 14/16
Epoch 3 loss 1.7964008905604079 valid acc 15/16
Epoch 3 loss 1.6668969841737402 valid acc 14/16
Epoch 3 loss 1.7591684902571043 valid acc 15/16
Epoch 3 loss 1.3420276425716344 valid acc 15/16
Epoch 3 loss 1.6006761079694671 valid acc 15/16
Epoch 3 loss 1.3645545150100546 valid acc 15/16
Epoch 3 loss 1.133340914874796 valid acc 15/16
Epoch 3 loss 1.3543991381102642 valid acc 15/16
Epoch 3 loss 1.765288866964176 valid acc 15/16
Epoch 3 loss 1.794057139789407 valid acc 15/16
Epoch 3 loss 2.0382123221208364 valid acc 15/16
Epoch 3 loss 1.2887729655321625 valid acc 15/16
Epoch 3 loss 0.8087547090718801 valid acc 16/16
Epoch 3 loss 1.0807448820770196 valid acc 15/16
Epoch 3 loss 1.1824710422246698 valid acc 15/16
^Z
zsh: suspended  python project/run_mnist_multiclass.py
(.venv) marquiswong@whale mod4-marquisywong % python project/run_sentiment.py       
missing pre-trained embedding for 55 unknown words
Epoch 1, loss 31.269648351880154, train accuracy: 52.00%
Validation accuracy: 63.00%
Best Valid accuracy: 63.00%
^Z
zsh: suspended  python project/run_sentiment.py
(.venv) marquiswong@whale mod4-marquisywong % git add .
(.venv) marquiswong@whale mod4-marquisywong % git commit -m "fixed sentiment logs"
[master 4439a70] fixed sentiment logs
 2 files changed, 33 insertions(+), 21 deletions(-)
(.venv) marquiswong@whale mod4-marquisywong % git push origin master
Enumerating objects: 9, done.
Counting objects: 100% (9/9), done.
Delta compression using up to 8 threads
Compressing objects: 100% (5/5), done.
Writing objects: 100% (5/5), 761 bytes | 761.00 KiB/s, done.
Total 5 (delta 4), reused 0 (delta 0), pack-reused 0
remote: Resolving deltas: 100% (4/4), completed with 4 local objects.
To github.com:Cornell-Tech-ML/mod4-marquisywong.git
   4c0bf8f..4439a70  master -> master
(.venv) marquiswong@whale mod4-marquisywong % python project/run_sentiment.py       
^Z
zsh: suspended  python project/run_sentiment.py
(.venv) marquiswong@whale mod4-marquisywong % python project/run_mnist_multiclass.py
Epoch 1 loss 2.3080549712705 valid acc 2/16
Epoch 1 loss 11.569947979481945 valid acc 1/16
Epoch 1 loss 11.499007871949004 valid acc 2/16
Epoch 1 loss 11.51142098809821 valid acc 2/16
Epoch 1 loss 11.51148283410624 valid acc 3/16
Epoch 1 loss 11.469042696194677 valid acc 2/16
Epoch 1 loss 11.469109215907226 valid acc 2/16
Epoch 1 loss 11.44393764015388 valid acc 3/16
Epoch 1 loss 11.457940333873047 valid acc 3/16
Epoch 1 loss 11.450550614465623 valid acc 3/16
Epoch 1 loss 11.287773098128081 valid acc 2/16
Epoch 1 loss 11.356151852532069 valid acc 4/16
Epoch 1 loss 10.887033556365566 valid acc 3/16
Epoch 1 loss 10.044906111434678 valid acc 7/16
Epoch 1 loss 10.381987310301128 valid acc 9/16
Epoch 1 loss 8.569170199942047 valid acc 8/16
Epoch 1 loss 9.897626233841438 valid acc 9/16
Epoch 1 loss 8.432968461453346 valid acc 11/16
Epoch 1 loss 7.051174749310163 valid acc 11/16
Epoch 1 loss 5.851832520825436 valid acc 11/16
Epoch 1 loss 6.131668171694078 valid acc 11/16
Epoch 1 loss 5.940940906405672 valid acc 12/16
Epoch 1 loss 3.5751630801436423 valid acc 12/16
Epoch 1 loss 5.947928565876859 valid acc 13/16
Epoch 1 loss 4.673355742503436 valid acc 11/16
Epoch 1 loss 4.860841013097484 valid acc 10/16
Epoch 1 loss 5.833020133084626 valid acc 12/16
Epoch 1 loss 3.6963429198774485 valid acc 12/16
Epoch 1 loss 3.4976576535774067 valid acc 13/16
Epoch 1 loss 3.4860147608620844 valid acc 10/16
Epoch 1 loss 7.09579456613999 valid acc 12/16
Epoch 1 loss 4.789614566947822 valid acc 11/16
Epoch 1 loss 3.499287150987031 valid acc 13/16
Epoch 1 loss 3.8091135824117117 valid acc 10/16
Epoch 1 loss 7.160054584170655 valid acc 11/16
Epoch 1 loss 4.4689351496601795 valid acc 13/16
Epoch 1 loss 3.864985065233654 valid acc 13/16
Epoch 1 loss 4.01325914559111 valid acc 14/16
Epoch 1 loss 4.6085623428596545 valid acc 14/16
Epoch 1 loss 3.39459571726645 valid acc 15/16
Epoch 1 loss 3.19139051439544 valid acc 13/16
Epoch 1 loss 3.810992119109037 valid acc 14/16
Epoch 1 loss 3.735222688593028 valid acc 14/16
Epoch 1 loss 2.7256111004922685 valid acc 13/16
Epoch 1 loss 4.654381125510093 valid acc 14/16
Epoch 1 loss 2.9955992932429965 valid acc 15/16
Epoch 1 loss 3.8543856041619327 valid acc 15/16
Epoch 1 loss 3.3195389739309378 valid acc 13/16
Epoch 1 loss 3.541093511652101 valid acc 14/16
Epoch 1 loss 2.7812931013791196 valid acc 11/16
Epoch 1 loss 2.5106056586519654 valid acc 13/16
Epoch 1 loss 3.6126632951022284 valid acc 14/16
Epoch 1 loss 3.6109299615210726 valid acc 13/16
Epoch 1 loss 2.7479343727061565 valid acc 14/16
Epoch 1 loss 3.814114990577331 valid acc 14/16
Epoch 1 loss 1.8561290501826728 valid acc 15/16
Epoch 1 loss 2.143314015592056 valid acc 13/16
Epoch 1 loss 5.9441892112802766 valid acc 12/16
Epoch 1 loss 3.437490456290675 valid acc 14/16
Epoch 1 loss 3.40740008601166 valid acc 13/16
Epoch 1 loss 3.2711117953877524 valid acc 13/16
Epoch 1 loss 3.850830390595112 valid acc 13/16
Epoch 1 loss 3.9748265962860194 valid acc 13/16
Epoch 2 loss 0.3416436561657927 valid acc 13/16
Epoch 2 loss 2.681482723081831 valid acc 13/16
Epoch 2 loss 3.6185945149178242 valid acc 14/16
Epoch 2 loss 2.6212407827617454 valid acc 14/16
Epoch 2 loss 1.8543877468512908 valid acc 14/16
Epoch 2 loss 2.510636639053778 valid acc 15/16
Epoch 2 loss 2.67720878405619 valid acc 13/16
Epoch 2 loss 3.8277977451899905 valid acc 15/16
Epoch 2 loss 2.960313984200136 valid acc 14/16
Epoch 2 loss 2.455132091462138 valid acc 15/16
Epoch 2 loss 2.6419725294271434 valid acc 14/16
Epoch 2 loss 4.006462647172176 valid acc 14/16
Epoch 2 loss 3.516910167816942 valid acc 16/16
Epoch 2 loss 2.852404226097213 valid acc 14/16
Epoch 2 loss 3.9927753758915774 valid acc 15/16
Epoch 2 loss 2.73921257900144 valid acc 14/16
Epoch 2 loss 4.035015860674202 valid acc 14/16
Epoch 2 loss 3.326903762695649 valid acc 14/16
Epoch 2 loss 2.903164420343552 valid acc 15/16
Epoch 2 loss 2.5159507326987236 valid acc 14/16
Epoch 2 loss 2.317570174233106 valid acc 14/16
Epoch 2 loss 1.7014759787113447 valid acc 13/16
Epoch 2 loss 1.1540923521029522 valid acc 16/16
Epoch 2 loss 2.9354546678527185 valid acc 15/16
Epoch 2 loss 1.6238517126716299 valid acc 15/16
Epoch 2 loss 1.7767361904668058 valid acc 14/16
Epoch 2 loss 3.1816865987069542 valid acc 15/16
Epoch 2 loss 2.3127843563100554 valid acc 15/16
Epoch 2 loss 2.2160280849831233 valid acc 15/16
Epoch 2 loss 1.3378021379748484 valid acc 15/16
Epoch 2 loss 1.8292869024363552 valid acc 14/16
Epoch 2 loss 2.24288373148669 valid acc 13/16
Epoch 2 loss 1.6790232121395485 valid acc 13/16
Epoch 2 loss 2.6370514105623912 valid acc 14/16
Epoch 2 loss 3.324807893469876 valid acc 14/16
Epoch 2 loss 2.2855610792354124 valid acc 15/16
Epoch 2 loss 2.3818909508953605 valid acc 14/16
Epoch 2 loss 1.811658790215556 valid acc 14/16
Epoch 2 loss 2.809730186192225 valid acc 15/16
Epoch 2 loss 1.8257718456504302 valid acc 14/16
Epoch 2 loss 1.4399927222864672 valid acc 13/16
Epoch 2 loss 2.1936423779690704 valid acc 16/16
Epoch 2 loss 1.8685705933278294 valid acc 15/16
Epoch 2 loss 2.0490355742661044 valid acc 14/16
Epoch 2 loss 2.6831685533288923 valid acc 15/16
Epoch 2 loss 1.1082522927914586 valid acc 14/16
Epoch 2 loss 2.4388536905102596 valid acc 15/16
Epoch 2 loss 2.870231302451935 valid acc 15/16
Epoch 2 loss 1.3894442410591714 valid acc 15/16
Epoch 2 loss 1.200966987112486 valid acc 15/16
Epoch 2 loss 1.5685475792983832 valid acc 15/16
Epoch 2 loss 1.8462379086252094 valid acc 15/16
Epoch 2 loss 2.667898509778505 valid acc 14/16
Epoch 2 loss 1.543440297238234 valid acc 15/16
Epoch 2 loss 2.0737785722735795 valid acc 15/16
Epoch 2 loss 0.9763819035019283 valid acc 15/16
Epoch 2 loss 1.7071612122535185 valid acc 14/16
Epoch 2 loss 2.067992957594713 valid acc 14/16
Epoch 2 loss 2.3479637638349296 valid acc 15/16
Epoch 2 loss 2.0254856217661383 valid acc 15/16
Epoch 2 loss 1.5998413540095109 valid acc 15/16
Epoch 2 loss 1.7316970300125791 valid acc 15/16
Epoch 2 loss 2.525589905685247 valid acc 13/16
Epoch 3 loss 0.23402246010168415 valid acc 15/16
Epoch 3 loss 1.4810910585384587 valid acc 15/16
Epoch 3 loss 2.8067057236156825 valid acc 15/16
Epoch 3 loss 1.8768677207191022 valid acc 15/16
Epoch 3 loss 1.3480699197286432 valid acc 15/16
Epoch 3 loss 1.4324808624161096 valid acc 16/16
Epoch 3 loss 1.9497530425238065 valid acc 15/16
Epoch 3 loss 2.340687350404056 valid acc 14/16
Epoch 3 loss 2.4352537233000753 valid acc 16/16
Epoch 3 loss 1.467904665756612 valid acc 16/16
Epoch 3 loss 1.8599482234244404 valid acc 16/16
Epoch 3 loss 2.4681305873323076 valid acc 15/16
Epoch 3 loss 1.982858254831765 valid acc 15/16
Epoch 3 loss 1.7713037086668246 valid acc 15/16
Epoch 3 loss 3.5611819723408744 valid acc 16/16
Epoch 3 loss 1.458021213789892 valid acc 15/16
Epoch 3 loss 2.3647243864268592 valid acc 15/16
Epoch 3 loss 2.526046621970928 valid acc 15/16
Epoch 3 loss 1.8043675904147474 valid acc 15/16
Epoch 3 loss 1.570086990915987 valid acc 15/16
Epoch 3 loss 1.5636472746348047 valid acc 13/16
Epoch 3 loss 1.2565041330184432 valid acc 15/16
Epoch 3 loss 0.538679342999687 valid acc 15/16
Epoch 3 loss 1.380497718755599 valid acc 15/16
Epoch 3 loss 1.0905811489765143 valid acc 15/16
Epoch 3 loss 0.9037244987883812 valid acc 15/16
Epoch 3 loss 1.6320249376681857 valid acc 15/16
Epoch 3 loss 1.303753767908954 valid acc 15/16
Epoch 3 loss 1.933935991692221 valid acc 15/16
Epoch 3 loss 0.9056258426281527 valid acc 16/16
Epoch 3 loss 1.4828256590246016 valid acc 15/16
Epoch 3 loss 1.1536554839027477 valid acc 16/16
Epoch 3 loss 0.7238013482298951 valid acc 15/16
Epoch 3 loss 1.9738110079748523 valid acc 15/16
Epoch 3 loss 2.2149027078027492 valid acc 16/16
Epoch 3 loss 1.9908474616195833 valid acc 14/16
Epoch 3 loss 1.0950435687096085 valid acc 15/16
Epoch 3 loss 1.7568033818759097 valid acc 15/16
Epoch 3 loss 2.126691539499883 valid acc 15/16
Epoch 3 loss 1.3690008286211555 valid acc 15/16
Epoch 3 loss 0.8194098066674489 valid acc 15/16
Epoch 3 loss 1.8432496226792914 valid acc 15/16
Epoch 3 loss 1.2623466189800614 valid acc 15/16
Epoch 3 loss 1.1357062595028482 valid acc 16/16
Epoch 3 loss 1.8970341833706366 valid acc 16/16
Epoch 3 loss 0.600864263428013 valid acc 16/16
Epoch 3 loss 1.4073545946360282 valid acc 14/16
Epoch 3 loss 2.4056827694395224 valid acc 15/16
Epoch 3 loss 1.3005956865176107 valid acc 15/16
Epoch 3 loss 0.5846376178603365 valid acc 15/16
Epoch 3 loss 1.3573808119756654 valid acc 15/16
Epoch 3 loss 0.833754917388942 valid acc 14/16
Epoch 3 loss 2.4601163683708664 valid acc 14/16
Epoch 3 loss 0.8916781992172282 valid acc 15/16
Epoch 3 loss 1.6160125975760846 valid acc 12/16
Epoch 3 loss 0.8275242805268694 valid acc 15/16
Epoch 3 loss 0.9525676557702061 valid acc 15/16
Epoch 3 loss 1.5851051088426646 valid acc 15/16
Epoch 3 loss 1.3417432917940904 valid acc 14/16
Epoch 3 loss 2.1079234319843763 valid acc 15/16
Epoch 3 loss 1.305712584658993 valid acc 15/16
Epoch 3 loss 1.5327147939798866 valid acc 15/16
Epoch 3 loss 1.7678626425042372 valid acc 13/16
Epoch 4 loss 0.14088472955609654 valid acc 14/16
Epoch 4 loss 1.1952852437190753 valid acc 16/16
Epoch 4 loss 2.1539219528160753 valid acc 15/16
Epoch 4 loss 1.3765539721178386 valid acc 15/16
Epoch 4 loss 1.1743853872070082 valid acc 15/16
Epoch 4 loss 0.7555045340014586 valid acc 15/16
Epoch 4 loss 1.3800620720182157 valid acc 15/16
Epoch 4 loss 1.711251071449067 valid acc 15/16
Epoch 4 loss 1.7353530203390775 valid acc 14/16
Epoch 4 loss 1.1125219132895052 valid acc 15/16
Epoch 4 loss 1.4969442400439048 valid acc 16/16
Epoch 4 loss 2.477908038216305 valid acc 15/16
Epoch 4 loss 1.7280710795730632 valid acc 15/16
Epoch 4 loss 1.4668880617354878 valid acc 14/16
Epoch 4 loss 2.6887059099246704 valid acc 15/16
Epoch 4 loss 1.160989410769772 valid acc 15/16
Epoch 4 loss 2.064851568748667 valid acc 14/16
Epoch 4 loss 1.1025368090706296 valid acc 15/16
Epoch 4 loss 1.4021152009580609 valid acc 15/16
Epoch 4 loss 1.5189520286373215 valid acc 15/16
Epoch 4 loss 1.425276385248731 valid acc 14/16
Epoch 4 loss 1.0098082965334925 valid acc 15/16
Epoch 4 loss 0.4889930818852489 valid acc 15/16
Epoch 4 loss 1.1318445452127115 valid acc 15/16
Epoch 4 loss 0.8385271549479555 valid acc 15/16
Epoch 4 loss 1.1641721351605592 valid acc 15/16
Epoch 4 loss 1.2526491204795205 valid acc 15/16
